S.No,District,Total attendance between (1-14) days,,Total attendance between (15-30) days,,Total attendance between (31-40) days,,Total attendance between (41-50) days,,Total attendance between (51-60) days,,Total attendance between (61-70) days,,Total attendance between (71-80) days,,Total attendance between (81-99) days,,Total attendance equal to 100 days,,Total attendance between (101-150) days,,Total attendance between (101-150) days in Drought Effective Areas,,Total attendance above 150 days,,Total attendance above 150 days in Drought Effective Areas,,Total attendance equal to 150 days ,,Total attendance,
,,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,AGRA,25429,225732,22055,497593,9704,344011,7910,363180,6265,352905,4347,284850,4852,361919,8990,812884,7197,719700,0,0,0,0,0,0,0,0,0,0,96749,3962774
2,ALIGARH,38543,326363,29574,658546,11312,397969,9557,431204,6404,354453,5705,373491,4116,311380,7410,663859,6716,671600,1,102,0,0,0,0,0,0,0,0,119338,4188967
3,AMBEDKAR NAGAR,56449,416982,33886,767563,11026,389278,11156,500192,8318,462849,6706,439785,5271,398010,10224,916559,5708,570800,0,0,0,0,0,0,0,0,0,0,148744,4862018
4,AMETHI,24051,245498,28406,675840,9050,322232,12178,542408,10030,562737,7501,495256,6210,468681,17519,1592911,12081,1208100,1,101,0,0,0,0,0,0,0,0,127027,6113764
5,AMROHA,29716,225547,20473,449202,7542,266619,5784,262148,4903,272339,4013,262338,3541,267512,6517,590867,7699,769900,0,0,0,0,0,0,0,0,0,0,90188,3366472
6,AURAIYA,23793,220204,17460,398028,6360,224364,5617,252588,3960,218875,3557,233413,2589,195752,5406,489794,3520,352000,0,0,0,0,0,0,0,0,0,0,72262,2585018
7,AYODHYA,33537,308972,32020,732841,13554,480150,12472,559442,10107,559844,8628,566426,6462,488049,15983,1457461,10862,1086200,0,0,0,0,0,0,0,0,0,0,143625,6239385
8,AZAMGARH,78641,789776,68151,1598592,26371,935784,24066,1080392,16683,922427,14751,968457,10706,809251,22173,1998891,12720,1272000,0,0,0,0,0,0,0,0,0,0,274262,10375570
9,BAGHPAT,977,8345,1080,24359,424,15072,302,13809,231,12804,203,13217,166,12543,293,26706,198,19800,0,0,0,0,0,0,0,0,0,0,3874,146655
