S.No,District,Total attendance between (1-14) days,,Total attendance between (15-30) days,,Total attendance between (31-40) days,,Total attendance between (41-50) days,,Total attendance between (51-60) days,,Total attendance between (61-70) days,,Total attendance between (71-80) days,,Total attendance between (81-99) days,,Total attendance equal to 100 days,,Total attendance between (101-150) days,,Total attendance between (101-150) days in Drought Effective Areas,,Total attendance above 150 days,,Total attendance above 150 days in Drought Effective Areas,,Total attendance equal to 150 days ,,Total attendance,
10,BAHRAICH,43904,441738,51891,1278349,15060,537456,18693,838373,16671,936133,11164,735016,9507,714878,19274,1741074,24936,2493600,1,103,0,0,0,0,0,0,0,0,211101,9716720
11,BALLIA,38895,404949,39614,940094,13304,474814,12941,578694,9769,541284,7547,496186,5348,403752,10772,970188,5846,584600,0,0,0,0,0,0,0,0,0,0,144036,5394561
12,BALRAMPUR,23745,256031,21904,526256,10307,374550,9633,432177,9295,511141,8103,534007,6989,530275,22498,2066008,10511,1051100,0,0,0,0,0,0,0,0,0,0,122985,6281545
13,BANDA,30944,284835,28177,656349,10351,368458,10387,471780,8518,476643,5714,377057,5885,440388,12330,1126053,9723,972300,0,0,0,0,0,0,0,0,0,0,122029,5173863
14,BARABANKI,34965,360048,35394,865415,12884,464580,13480,602557,12038,665620,10002,660981,7849,592337,18693,1697978,21547,2154700,0,0,0,0,0,0,0,0,0,0,166852,8064216
15,BAREILLY,79069,575834,39545,859626,12558,442862,8905,402092,6723,372473,5392,352995,4380,331007,8238,744592,7007,700700,0,0,0,0,0,0,0,0,0,0,171817,4782181
16,BASTI,48688,566380,54312,1328175,18897,683667,23090,1021531,20879,1154892,17530,1164142,11842,897777,32405,2924851,18965,1896500,0,0,0,0,0,0,0,0,0,0,246608,11637915
17,BIJNOR,73308,547148,43026,928514,13297,467636,9253,418020,6478,358086,4902,320233,3175,239350,6232,564463,7832,783200,0,0,0,0,0,0,0,0,0,0,167503,4626650
18,BUDAUN,42209,361500,26564,603129,10297,365817,9331,419460,7507,416128,6352,417774,5219,393438,12393,1117559,9354,935400,0,0,0,0,0,0,0,0,0,0,129226,5030205
19,BULANDSHAHR,23733,172377,12622,271718,3405,119907,2301,103675,1677,93220,1116,72884,906,68351,1349,121559,745,74500,0,0,0,0,0,0,0,0,0,0,47854,1098191
20,CHANDAULI,28813,281056,26632,626872,10175,360116,11011,492169,8250,457604,7582,501474,4999,378339,14020,1268659,12930,1293000,0,0,0,0,0,0,0,0,0,0,124412,5659289
21,CHITRAKOOT,21084,197517,18856,437524,8157,288560,8244,371089,6354,352747,6417,422535,4509,340691,9724,875135,14459,1445900,1,105,0,0,0,0,0,0,0,0,97805,4731803
22,DEORIA,30384,292372,30293,737180,9825,353774,12664,560600,9870,545457,7423,491812,5059,382566,9758,873350,7391,739100,0,0,0,0,0,0,0,0,0,0,122667,4976211
23,ETAH,14923,149904,15579,378807,5683,200162,6690,300492,4901,272960,4947,327672,2998,227663,9634,879680,8441,844100,0,0,0,0,0,0,0,0,0,0,73796,3581440
24,ETAWAH,21903,201266,23068,522611,10254,363711,8530,387253,7128,398472,5174,339105,5028,377705,11226,1018246,9954,995400,0,0,0,0,0,0,0,0,0,0,102265,4603769
25,FARRUKHABAD,20248,176213,17145,388732,7166,253796,5833,263555,4507,249450,3943,257995,3500,264738,9083,823306,5792,579200,0,0,0,0,0,0,0,0,0,0,77217,3256985
26,FATEHPUR,31256,327646,37227,879551,9698,348418,12762,564468,11116,621933,7697,510188,6770,510046,15275,1380118,12593,1259300,0,0,0,0,0,0,0,0,0,0,144394,6401668
27,FIROZABAD,19483,175932,18733,432296,6966,247367,6944,314307,5280,295196,4294,280599,4018,301931,6269,564263,7696,769600,0,0,0,0,0,0,0,0,0,0,79683,3381491
28,GAUTAM BUDDHA NAGAR,194,1458,253,5863,85,2965,61,2718,36,1993,29,1888,12,901,9,852,16,1600,0,0,0,0,0,0,0,0,0,0,695,20238
29,GHAZIPUR,57845,564042,63464,1464797,18955,672738,19548,880948,15104,842516,9815,645908,8517,639981,17975,1634055,9400,940000,0,0,0,0,0,0,0,0,0,0,220623,8284985
30,GONDA,36196,428742,34275,859622,12434,451498,15157,668226,12398,686161,10493,697642,6594,499056,14712,1322101,17834,1783400,1,122,0,0,0,0,0,0,0,0,160094,7396570
31,GORAKHPUR,53785,478149,41047,949300,15942,565249,13973,630095,9950,551666,8434,552635,6661,502930,10936,978572,8091,809100,0,0,0,0,0,0,0,0,0,0,168819,6017696
32,HAMIRPUR,17818,167297,18503,443850,7406,264900,8300,373884,7893,438670,6175,407919,5078,383660,14393,1305737,13293,1329300,1,101,0,0,0,0,0,0,0,0,98860,5115318
33,HAPUR,2322,20014,1982,45142,778,27988,605,27350,503,27564,391,25545,290,21971,383,34701,348,34800,0,0,0,0,0,0,0,0,0,0,7602,265075
34,HARDOI,49555,526311,46660,1141113,15616,556650,21678,957474,17771,983137,16254,1082515,8848,671336,30721,2794283,28081,2808100,0,0,0,0,0,0,0,0,0,0,235184,11520919
35,HATHRAS,18827,148095,14123,311029,5504,193680,3769,169957,2780,153726,2117,138247,1666,125581,2565,229201,3434,343400,0,0,0,0,0,0,0,0,0,0,54785,1812916
36,JALAUN,23638,240958,23226,561017,9619,341452,12618,563279,10259,569656,10510,697974,6681,506455,23834,2170518,18683,1868300,0,0,0,0,0,0,0,0,0,0,139068,7519609
37,JAUNPUR,38166,415658,57338,1348870,15789,565998,21109,942490,18330,1034285,11681,771639,13995,1048519,31924,2878401,20745,2074500,0,0,0,0,0,0,0,0,0,0,229077,11080360
38,JHANSI,14922,144439,16856,402983,6868,246418,7161,325465,6675,371942,5765,380734,5769,435245,14656,1333196,16397,1639700,0,0,0,0,0,0,0,0,0,0,95069,5280122
39,KANNAUJ,26995,207149,19868,455422,6836,241963,5858,262870,4858,269051,3887,255599,3057,230630,6558,589589,6423,642300,0,0,0,0,0,0,0,0,0,0,84340,3154573
40,KANPUR DEHAT,25585,223589,22826,517619,9546,336887,8061,364164,5643,312678,5207,341249,3950,298183,11295,1037927,6286,628600,0,0,0,0,0,0,0,0,0,0,98399,4060896
41,KANPUR NAGAR,18202,153436,14390,328097,5584,196752,4439,201107,3310,182634,2575,168375,1766,133175,3430,311323,5431,543100,0,0,0,0,0,0,0,0,0,0,59127,2217999
42,KASHGANJ,16430,136541,15675,346506,6657,235508,5712,258144,4531,250645,4005,262474,3270,246653,6663,607087,8908,890800,0,0,0,0,0,0,0,0,0,0,71851,3234358
43,KAUSHAMBI,24187,217009,21237,480551,8096,286692,6585,298778,5170,288685,3968,260284,3643,274088,5642,506388,6732,673200,0,0,0,0,0,0,0,0,0,0,85260,3285675
44,KHERI,74818,638306,59847,1398800,22871,810261,21262,956204,17204,953533,14314,940213,10688,807495,23520,2136799,19821,1982100,0,0,0,0,0,0,0,0,0,0,264345,10623711
45,KUSHI NAGAR,42695,414200,35854,837061,15774,558643,14301,642925,11274,624541,10224,669067,6744,510027,15195,1376270,11615,1161500,0,0,0,0,0,0,0,0,0,0,163676,6794234
46,LALITPUR,22680,214877,21408,501688,9916,354132,9009,409948,7506,416288,6195,406351,4974,374934,6875,609020,16775,1677500,1,107,0,0,0,0,0,0,0,0,105339,4964845
47,LUCKNOW,16194,135475,15300,349915,5946,210194,4688,212067,3631,201206,3090,201840,2500,188515,5030,458584,6179,617900,0,0,0,0,0,0,0,0,0,0,62558,2575696
48,MAHARAJGANJ,62085,561125,50122,1134605,18221,644716,17958,802516,14868,825555,12716,840516,10188,770438,29769,2709211,17660,1766000,1,104,0,0,0,0,0,0,0,0,233588,10054786
49,MAHOBA,12658,116247,10958,255376,4389,155373,4223,190073,3124,173303,2885,190028,1946,146965,4201,383218,4815,481500,0,0,0,0,0,0,0,0,0,0,49199,2092083
50,MAINPURI,22211,211223,18643,432274,7411,264780,7330,328355,6178,342772,5285,348520,4423,333486,14231,1305033,9838,983800,0,0,0,0,0,0,0,0,0,0,95550,4550243
51,MATHURA,20400,192547,17686,408620,6859,244511,6890,309439,5563,309507,4605,304446,3720,280520,10554,958427,5302,530200,0,0,0,0,0,0,0,0,0,0,81579,3538217
52,MAU,42556,473767,35702,864040,12104,430487,14868,652904,11245,620456,9529,634956,5090,386228,12643,1129518,9528,952800,0,0,0,0,0,0,0,0,0,0,153265,6145156
53,MEERUT,5670,55512,4242,102675,1568,55933,2131,93112,1863,102899,1761,118220,874,66656,5541,508974,5247,524700,0,0,0,0,0,0,0,0,0,0,28897,1628681
54,MIRZAPUR,39950,371884,37140,853983,15676,555288,14506,654016,11595,642702,10038,658569,8166,617763,14591,1313565,18653,1865300,0,0,0,0,0,0,0,0,0,0,170315,7533070
55,MORADABAD,29958,242222,19282,435283,6596,233037,6364,284965,5285,292985,4626,303873,3770,285200,9974,908973,7081,708100,0,0,0,0,0,0,0,0,0,0,92936,3694638
56,MUZAFFARNAGAR,8538,72627,7528,173574,3079,108730,2855,128942,2033,112892,1979,130026,1490,112738,2921,264659,3922,392200,0,0,0,0,0,0,0,0,0,0,34345,1496388
57,PILIBHIT,56391,428158,36141,795778,11746,414532,8670,391408,6377,353398,4857,317378,3159,238034,5292,476743,5437,543700,0,0,0,0,0,0,0,0,0,0,138070,3959129
58,PRATAPGARH,40194,457405,53411,1305050,11423,410579,19636,862850,16727,934674,11497,769611,7665,577319,20192,1811618,22682,2268200,1,112,0,0,0,0,0,0,0,0,203428,9397418
59,PRAYAGRAJ,61493,579554,57079,1314929,21606,765480,18783,846578,14156,784774,11228,736713,9358,705963,21546,1959525,12166,1216600,0,0,0,0,0,0,0,0,0,0,227415,8910116
60,RAE BARELI,53810,469543,45328,1032503,17603,621755,15635,703810,11447,633802,9958,654083,7554,570042,16582,1512167,11861,1186100,0,0,0,0,0,0,0,0,0,0,189778,7383805
61,RAMPUR,35864,267749,23427,526088,7477,265125,6897,310752,5421,302212,3783,248270,3764,282229,8469,769304,3841,384100,0,0,0,0,0,0,0,0,0,0,98943,3355829
62,SAHARANPUR,36262,268060,19992,436765,6341,223699,4744,214404,3788,209545,2947,192771,2529,191280,4717,425767,3806,380600,0,0,0,0,0,0,0,0,0,0,85126,2542891
63,SAMBHAL,28200,216786,19302,431952,7362,260723,6014,272585,4732,262981,3697,242713,3489,262825,7738,701606,7627,762700,1,102,0,0,0,0,0,0,0,0,88162,3414973
64,SANT KABEER NAGAR,31567,353621,38944,932127,14297,511907,14891,664881,13974,772956,10578,695168,8454,639015,17501,1573515,9636,963600,0,0,0,0,0,0,0,0,0,0,159842,7106790
65,SANT RAVIDAS NAGAR,22070,204336,17821,410512,6098,215304,5611,252655,3899,216525,3450,226821,2444,184665,5557,502237,3815,381500,0,0,0,0,0,0,0,0,0,0,70765,2594555
66,SHAHJAHANPUR,60132,459151,35485,793809,12106,427878,9782,442366,7480,415381,5791,378841,5001,376844,10118,920710,7140,714000,0,0,0,0,0,0,0,0,0,0,153035,4928980
67,SHAMLI,3757,37589,3213,79033,853,30696,1047,46219,925,51362,766,50873,446,33743,976,87386,1380,138000,0,0,0,0,0,0,0,0,0,0,13363,554901
68,SHRAVASTI,17230,159435,16089,367248,6754,240273,5616,257278,4544,255851,3321,216909,3159,235918,4888,442146,8684,868400,0,0,0,0,0,0,0,0,0,0,70285,3043458
69,SIDDHARTH NAGAR,50253,540056,50214,1201523,23205,822373,26875,1204154,18020,999336,18555,1219361,12736,964046,30089,2704351,23834,2383400,0,0,0,0,0,0,0,0,0,0,253781,12038600
70,SITAPUR,70252,632284,67460,1608026,24121,859889,25797,1163067,20601,1149892,16157,1062219,14455,1087800,29108,2633879,37900,3790000,11,1117,0,0,0,0,0,0,0,0,305862,13988173
71,SONBHADRA,42539,379539,41189,940384,16631,590738,14544,657708,11200,621598,9263,607096,7610,573244,13210,1184357,12759,1275900,1,127,0,0,0,0,0,0,0,0,168946,6830691
72,SULTANPUR,29170,300927,42642,1007302,10589,374890,14120,627048,11429,639761,8229,544304,7746,583305,17173,1553876,14828,1482800,1,102,0,0,0,0,0,0,0,0,155927,7114315
73,UNNAO,34733,321349,34602,811695,13254,467856,12373,557854,8688,481344,8284,542839,6095,460595,14867,1353092,16910,1691000,1,101,0,0,0,0,0,0,0,0,149807,6687725
74,VARANASI,29571,246218,21302,475584,8153,287673,6505,293914,4761,263854,3858,252600,3125,235450,6275,568400,3235,323500,0,0,0,0,0,0,0,0,0,0,86785,2947193
,Total,2467258,22634824,2162763,50343745,779371,27695923,778293,34909601,618611,34371566,505482,33295710,395053,29809975,908727,82283875,776502,77650200,24,2506,0,0,0,0,0,0,0,0,9392084,392997925
