Financial Performance Under MGNREGA during the Financial Year 2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,(Rs. in Lakhs),,,,,,
S.No,District,Opening Balance(OB),,Release of,,Release from,Authorisation,Misc Reciept,Borrowed Fund ,,Inter-district,,Total Availabilty,Cumulative LB,Cumulative Expenditure,,,,,,,,%age Utilization,Balance,Payment due**,,,,
,,,,Last FY but,,State Fund(*) to,of,,,,fund transfer,,,Estimation of,,,,,,,,,,,,,,,
,,,,Received,,districts,EFMS,,,,,,,Expenditure upto,,,,,,,,,,,,,,,
,,,,during the,,,,,,,,,,Reporting months,,,,,,,,,,,,,,,
,,,,Current FY,,,,,,,,,,(March),,,,,,,,,,,,,,,
,,,Entered OB ,Centre,State ,,,,From other,Refunded to,Fund transfer to,Fund received,,,Actual Expenditure,,,,Adm.Exp ,,,Total,,,On Unskilled Wage ,On Semi-skilled and Skilled Wage ,On Material,Tax ,Total
,,,,,,,,,district or,district/state ,other district ,from other,,,,,,,,,,,,,,,,,
,,,,,,,,,Revolving Fund ,,,districts ,,,Unskilled Wage ,Semi-skilled and Skilled Wage,Material ,Tax ,Rec Exp,Non-Rec Exp ,Total Adm. Exp ,,,,,,,,
1,2,,4,5,6,7,8,9,10,11,12,13,14=(4+5+6+7+8+9+10+13)-(11+12),15,16,17,18,19,20,21,22=20+21,23=16+17+18+19+22,24=(23/14)*100,25=14-23,26,27,28,29,30=26+27+28+29
Phase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AZAMGARH,,-42.02,0,0,0,29065.65,0,0,0,0,0,29023.63,0,15379.18,852.56,10243.52,1145.85,1322.45,17.77,1340.21,28961.32,99.79,62.31,9.68,0.26,6.98,0.66,17.58
2,BANDA,,-125.48,0,0,0,13845.12,0,0,0,0,0,13719.64,0,6160.91,291.44,6310,591.86,437.79,9.03,446.82,13801.03,100.59,-81.39,2.44,0.51,12.08,0.33,15.36
3,BARABANKI,,-89.53,0,0,0,32403.5,0,0,0,0,0,32313.97,0,16065.11,1414.43,12278.13,1511.27,1025.88,49.24,1075.12,32344.06,100.09,-30.09,17.88,4.36,10.42,0.82,33.48
4,CHANDAULI,,-81.95,0,0,0,15454.83,0,0,0,0,0,15372.88,0,8510.88,422.08,5622.01,183.73,640.97,19.98,660.96,15399.66,100.17,-26.78,9.2,5.38,33.36,2.78,50.72
5,CHITRAKOOT,,-63.75,0,0,0,11867.46,0,0,0,0,0,11803.71,0,5254.28,154.07,5247.15,654,465.81,43.01,508.82,11818.32,100.12,-14.61,4.9,1.76,3.57,0.23,10.46
6,FATEHPUR,,-45.02,0,0,0,21959.08,13.1,0,0,0,0,21927.16,0,10282.77,673.45,9092.17,369.54,846.03,42.88,888.91,21306.85,97.17,620.31,21.8,5.31,17.2,2,46.31
7,GORAKHPUR,,-213.3,0,0,0,21514.75,0,0,0,0,0,21301.45,0,12452.84,496.87,7254.56,285.19,906.52,15.77,922.29,21411.75,100.52,-110.3,89.59,6.33,44.28,1.78,141.98
8,HAMIRPUR,,-126.52,0,0,0,15935.59,0,0,0,0,0,15809.07,0,8653.21,233,6046.42,589.95,350.68,10.86,361.54,15884.13,100.47,-75.06,3.72,0.78,1.21,0.02,5.73
9,HARDOI,,-337.35,0,0,0,26930.4,0,0,0,0,0,26593.06,0,14509.11,582.98,9973.37,670.32,1100.27,31.31,1131.58,26867.36,101.03,-274.3,22.68,12.73,24.32,1.9,61.63
10,JALAUN,,-56.55,0,0,0,28187.46,0,0,0,0,0,28130.91,0,15267.97,577.81,10621.71,1109.3,548.98,11.78,560.76,28137.55,100.02,-6.64,24.26,5.99,8.3,0.58,39.13
11,JAUNPUR,,-453.19,0,0,0,42128.23,0,0,0,0,0,41675.04,0,23473.59,452.92,14777.31,1815.65,1361.04,37.56,1398.6,41918.07,100.58,-243.03,49.74,6.89,51.89,5.61,114.13
12,KAUSHAMBI,,-55.53,0,0,0,8965.03,0,0,0,0,0,8909.5,0,4607.88,214.16,3701.65,84.66,331.59,5.78,337.36,8945.71,100.41,-36.21,19.82,4.69,6.34,0.07,30.92
13,KHERI,,-90.52,0,0,0,30790.97,0,0,0,0,0,30700.46,0,16082.75,885.51,11269.09,1485.53,953.32,12.92,966.24,30689.13,99.96,11.33,9.28,6.25,16.26,1.55,33.34
14,KUSHI NAGAR,,-102.89,0,0,0,21328.29,0.09,0,0,0,0,21225.49,0,11868.79,712.92,7544.41,33.68,982.48,15.99,998.47,21158.26,99.68,67.23,7,0.69,32.77,0.09,40.55
15,LALITPUR,,-74.81,0,0,0,16394.52,0,0,0,0,0,16319.71,0,9251.98,440.96,5557.96,664.44,407.95,32.11,440.06,16355.39,100.22,-35.68,4.32,1.65,13.18,1.2,20.35
16,MAHOBA,,-67.05,0,0,0,5779.14,0,0,0,0,0,5712.09,0,2572.87,251.44,2369.94,295,254.46,2.6,257.07,5746.31,100.6,-34.22,4.89,1.66,10.08,0.97,17.6
17,MIRZAPUR,,-275,0,0,0,19587.89,0,0,0,0,0,19312.9,0,9479.49,656.35,7782.03,890.24,660.16,41.76,701.91,19510.02,101.02,-197.13,16.3,3.13,1.08,0,20.51
18,PRATAPGARH,,-402.5,0,0,0,22782.57,0,0,0,0,0,22380.07,0,14326.96,283.61,6328.59,461.26,949.84,13.98,963.81,22364.24,99.93,15.83,14.55,4.01,77.9,1.82,98.28
19,RAE BARELI,,-184.98,0,0,0,20615.73,0,0,0,0,0,20430.76,0,10266.2,831.57,8102.1,396.07,862.09,28.31,890.4,20486.34,100.27,-55.58,2.11,0.96,16.49,1.09,20.65
20,SITAPUR,,-309.25,0,0,0,41200.73,0,0,0,0,0,40891.48,0,21194.64,1550.31,15780.25,1043.94,1471.06,59.23,1530.28,41099.43,100.51,-207.94,49.32,19.68,246.65,27.14,342.79
21,SONBHADRA,,-275.16,0,0,0,17491.81,0,0,0,0,0,17216.66,0,9206.17,748.48,6193.36,658.76,605.53,30.81,636.34,17443.1,101.32,-226.45,2.89,0.99,29.35,3.72,36.95
22,UNNAO,,-59.03,0,0,0,13202.72,0,0,0,0,0,13143.69,0,8257.12,297.05,3740.7,75.39,776.92,3.97,780.88,13151.15,100.06,-7.45,12.04,2.06,9.99,0.33,24.42
PhaseI Total,,,-3531.35,0,0,0,477431.47,13.19,0,0,0,0,473913.31,0,253124.7,13023.97,175836.43,15015.63,17261.8,536.64,17798.44,474799.18,100.19,-885.85,398.41,96.07,673.7,54.69,1222.87
Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AMBEDKAR NAGAR,,-111.78,0,0,0,19062.82,0,0,0,0,0,18951.05,0,9841.75,533.52,7532.45,257.71,703.16,11.32,714.47,18879.9,99.62,71.14,53.95,6.88,27.68,1.39,89.9
24,BAHRAICH,,-8.17,0,0,0,42318.25,0,0,0,0,0,42310.08,0,20181.74,1393.08,18631.33,463.95,1366.04,100.99,1467.03,42137.12,99.59,172.96,12.05,15.76,3.77,0,31.58
25,BALLIA,,-145.98,0,0,0,17293.65,0,0,0,0,0,17147.68,0,10972.67,188.21,5028.3,119.07,910.01,14.72,924.73,17232.98,100.5,-85.31,19.38,2.67,10.39,0.01,32.45
26,BALRAMPUR,,-132.33,0,0,0,15745.92,0,0,0,0,0,15613.59,0,9449.91,308.02,4915.79,261.18,797.65,17.36,815.02,15749.91,100.87,-136.32,9.43,7.04,24.84,0.83,42.14
27,BASTI,,-127.89,0,0,0,39125.94,0,0,0,0,0,38998.05,0,23652.69,1018.08,13313.46,86.87,937.45,19.05,956.5,39027.6,100.08,-29.55,27.1,4.58,228.31,10.41,270.4
28,BUDAUN,,-128.68,0,0,0,13151.7,0,0,0,0,0,13023.01,0,7909.76,212.1,3694.93,409.47,839.43,4.11,843.54,13069.8,100.36,-46.78,11.55,4.28,13.53,1.56,30.92
29,ETAH,,-81.75,0,0,0,12535.92,0,0,0,0,0,12454.17,0,6029.19,341.59,5236.63,433.96,438.31,12.93,451.24,12492.62,100.31,-38.45,15.56,2.75,24.49,2.68,45.48
30,FARRUKHABAD,,-66.04,0,0,0,10004.72,0,0,0,0,0,9938.68,0,5668.27,268.66,3070.97,404.4,395.24,18.76,414,9826.3,98.87,112.38,1.63,2.37,19.47,2.39,25.86
