Financial Performance Under MGNREGA during the Financial Year 2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,(Rs. in Lakhs),,,,,,
S.No,District,Opening Balance(OB),,Release of,,Release from,Authorisation,Misc Reciept,Borrowed Fund ,,Inter-district,,Total Availabilty,Cumulative LB,Cumulative Expenditure,,,,,,,,%age Utilization,Balance,Payment due**,,,,
31,GONDA,,4.47,0,0,0,17444.7,0,0,0,0,0,17449.17,0,11098.71,251.43,4661.91,495.08,868.75,29.45,898.19,17405.33,99.75,43.84,3.26,1.36,11.66,1.13,17.41
32,JHANSI,,-8.46,0,0,0,16179.25,0,0,0,0,0,16170.8,0,8600.62,365.24,6155.76,506.61,467.82,3.75,471.58,16099.81,99.56,70.99,11.22,5.93,10.45,0.46,28.06
33,KANPUR DEHAT,,-43.91,0,0,0,8028.3,0,0,0,0,0,7984.39,0,4266.25,272.95,2610.45,301.72,522.81,10.45,533.26,7984.64,100,-0.25,3.3,2.49,43.01,1.78,50.58
34,MAHARAJGANJ,,-281.93,0,0,0,28013.52,0,0,0,0,0,27731.59,0,16650.09,761.7,9462.4,196.94,829.96,20.96,850.92,27922.05,100.69,-190.46,12.26,8.56,27.43,0.33,48.58
35,MAU,,-107.92,0,0,0,17339.18,0,0,0,0,0,17231.26,0,9999.94,384.19,5403.58,726.3,696.86,23.89,720.75,17234.75,100.02,-3.5,7.65,2.21,9.11,1.59,20.56
36,SANT KABEER NAGAR,,-169.07,0,0,0,24753.48,0,0,0,0,0,24584.4,0,14314.26,626.85,7902.3,993.17,618.32,15.09,633.41,24469.99,99.53,114.42,14.05,4.65,41.16,3.44,63.3
37,SHRAVASTI,,-71.84,0,0,0,8504.06,0,0,0,0,0,8432.23,0,5122.58,309.65,2595.01,150.07,275.33,23.63,298.95,8476.26,100.52,-44.03,0.72,1.32,24.12,0.29,26.45
38,SIDDHARTH NAGAR,,-142.54,0,0,0,41642.5,0,0,0,0,0,41499.96,0,21348.9,916.79,17125.24,1059.36,1026.62,6.3,1032.93,41483.21,99.96,16.75,70.83,5.11,26.28,0.4,102.62
39,SULTANPUR,,-28.89,0,0,0,25042.93,0,0,0,0,0,25014.03,0,13952.68,864.7,9062.7,150.89,768.39,39.68,808.07,24839.04,99.3,175,25.37,7.88,6.18,0.07,39.5
PhaseII Total,,,-1652.71,0,0,0,356186.84,0,0,0,0,0,354534.14,0,199060.02,9016.75,126403.22,7016.75,12462.15,372.42,12834.58,354331.32,99.94,202.83,299.31,85.84,551.88,28.76,965.79
Phase III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AGRA,,-54.18,0,0,0,16477.4,0,0,0,0,0,16423.23,0,7934.03,379.94,6792.4,785.21,547.82,2.3,550.12,16441.7,100.11,-18.47,14.88,5.79,6.64,0.31,27.62
41,ALIGARH,,-43.52,0,0,0,12275.31,0,0,0,0,0,12231.78,0,7217.15,362.19,4075.47,280.16,282.75,1.71,284.47,12219.44,99.9,12.34,4.73,5.54,16.58,1.31,28.16
42,AMETHI,,-208.23,0,0,0,19372.12,0,0,0,0,0,19163.89,0,10038.74,744.46,7175.24,393.59,684.98,21.03,706.01,19058.04,99.45,105.85,5.77,7.19,45.24,1.22,59.42
43,AMROHA,,-31.63,0,0,0,10512.42,0,0,0,0,0,10480.79,0,7500.87,261.41,2064.71,220.46,412.32,18.61,430.93,10478.38,99.98,2.42,18.58,2.5,21.95,2.67,45.7
44,AURAIYA,,-49.32,0,0,0,8070.53,0,0,0,0,0,8021.21,0,4209.15,153.3,2896.24,395.03,384.92,0.71,385.63,8039.35,100.23,-18.14,1.49,2.41,11.17,1.21,16.28
45,AYODHYA,,-125.25,0,0,0,16725.92,0,0,0,0,0,16600.67,0,9693.66,549.44,5473.18,41.27,852.28,25.8,878.08,16635.64,100.21,-34.96,6.01,5.08,41.15,2.48,54.72
46,BAGHPAT,,220.5,0,0,0,153.94,0,0,0,0,0,374.45,0,129.34,5.96,12.22,0.62,4.69,0,4.69,152.83,40.81,221.62,0.12,0.17,0.2,0,0.49
47,BAREILLY,,-106.47,0,0,0,15844.28,0,0,0,0,0,15737.81,0,9408.54,674.27,4255.55,424.76,949.44,23.58,973.03,15736.14,99.99,1.67,4.36,5.48,28.06,1.3,39.2
48,BIJNOR,,-123.02,0,0,0,17115.98,0,0,0,0,0,16992.95,0,9147.79,772.31,5895.26,647.03,594.6,3.34,597.93,17060.32,100.4,-67.37,11.21,15.97,190.03,22.9,240.11
49,BULANDSHAHR,,-16.58,0,0,0,2117.89,0,0,0,0,0,2101.31,0,1239.24,51.6,672.67,77.71,55.14,2.24,57.38,2098.59,99.87,2.72,8.06,1.21,53.86,6.29,69.42
50,DEORIA,,47.33,0,0,0,18664.31,0,0,0,0,0,18711.64,0,9288.48,328.18,7749.65,341.78,880.63,19.02,899.65,18607.74,99.44,103.9,22.63,4.96,4.19,0.05,31.83
51,ETAWAH,,-37.37,0,0,0,10451.42,0,0,0,0,0,10414.05,0,5760.38,204.49,3827.16,81.82,433.63,16.75,450.38,10324.23,99.14,89.82,2.77,3.64,8.73,0.34,15.48
52,FIROZABAD,,-87.14,0,0,0,11844.98,0,0,0,0,0,11757.84,0,7318.99,210.12,3774.47,154.36,294.69,38.62,333.31,11791.25,100.28,-33.42,10.65,2.58,3.96,0.15,17.34
53,GAUTAM BUDDHA NAGAR,,-0.26,0,0,0,22.92,0,0,0,0,0,22.66,0,22.92,0,0,0,0,0,0,22.92,101.16,-0.26,0.02,0,0,0,0.02
54,GHAZIABAD,,-0.19,0,0,0,0.9,0,0,0,0,0,0.7,0,0.9,0,0,0,0,0,0,0.9,127.68,-0.19,0,0,0,0,0
55,GHAZIPUR,,-87.98,0,0,0,26824.56,0,0,0,0,0,26736.59,0,16177.8,695.42,8231.91,614.64,987.37,16.36,1003.73,26723.49,99.95,13.09,18.13,4.3,120.66,12.67,155.76
56,HAPUR,,-7.04,0,0,0,530.91,0,0,0,0,0,523.87,0,492.39,2.08,26.19,0.31,7.75,0.18,7.92,528.89,100.96,-5.02,0,0,0.16,0,0.16
57,HATHRAS,,-54.09,0,0,0,4838.39,0,0,0,0,0,4784.3,0,3032.68,57.22,1290.3,157.71,276.3,4.04,280.35,4818.26,100.71,-33.96,1.53,2.57,13.72,1.53,19.35
58,KANNAUJ,,-22.87,0,0,0,8501.59,0,0,0,0,0,8478.72,0,4801.54,122.11,2893.15,263.62,386.45,9.21,395.67,8476.09,99.97,2.64,19.98,2.59,4.14,0.07,26.78
59,KANPUR NAGAR,,-47.39,0,0,0,4835.38,0,0,0,0,0,4787.99,0,3355.33,100.38,1003.48,59.74,287.86,12.34,300.2,4819.12,100.65,-31.13,1.97,0.68,23.52,1.35,27.52
60,KASHGANJ,,12.03,0,0,0,11159.53,0,0,0,0,0,11171.56,0,5572.23,343.46,4599.43,253.57,360.04,4.24,364.28,11132.97,99.65,38.59,0.72,1.85,15.83,1.31,19.71
61,LUCKNOW,,-42.26,0,0,0,7164.35,0,0,0,0,0,7122.1,0,3468.54,223.56,2734.52,297.18,418.86,3.55,422.41,7146.2,100.34,-24.1,0.47,0.74,1.37,0.09,2.67
62,MAINPURI,,-80.85,0,0,0,15113.07,0,0,0,0,0,15032.23,0,7633.37,265.48,5979.01,759.86,456.66,1.8,458.46,15096.18,100.43,-63.95,6.13,5.38,20.18,2.58,34.27
63,MATHURA,,-57.72,0,0,0,9562.52,0,0,0,0,0,9504.8,0,5630.78,148.22,3104.34,396.89,273.75,6.43,280.18,9560.41,100.59,-55.61,15.03,5.62,31.63,4.09,56.37
64,MEERUT,,-19.37,0,0,0,2611.7,0,0,0,0,0,2592.33,0,2053.76,33.52,447.5,53.23,13.07,3.69,16.76,2604.78,100.48,-12.45,2.99,-0.05,6.85,0.94,10.73
65,MORADABAD,,-83.01,0,0,0,11653.19,0,0,0,0,0,11570.17,0,7424.76,406.36,2848.31,352.22,480.46,10.36,490.82,11522.47,99.59,47.7,11.66,3.29,50.71,4.03,69.69
66,MUZAFFARNAGAR,,-32.02,0,0,0,2962.41,0,0,0,0,0,2930.38,0,2168.91,59.15,597.99,52.78,58.63,11.8,70.43,2949.26,100.64,-18.88,1.61,0.65,9.66,0.88,12.8
67,PILIBHIT,,-78.55,0,0,0,12578.39,0,0,0,0,0,12499.84,0,7053.61,663.57,3758.35,352.54,687.29,9.16,696.45,12524.52,100.2,-24.67,21.43,3.57,27.2,2.09,54.29
68,PRAYAGRAJ,,-314.19,0,0,0,25994.62,0,0,0,0,0,25680.43,0,13508.4,681.11,8839.33,1083.39,1307.12,25.65,1332.77,25445,99.08,235.42,15.15,4.88,34.69,4.05,58.77
69,RAMPUR,,-15.2,0,0,0,13414.74,0,0,0,0,0,13399.54,0,7676.94,555.78,4079.17,432.77,542.44,8.24,550.68,13295.34,99.22,104.2,10.59,1.45,29.85,2.47,44.36
70,SAHARANPUR,,-16.17,0,0,0,6890.35,0,0,0,0,0,6874.19,0,4295.86,194.01,1952.05,84.43,329.26,2.09,331.35,6857.7,99.76,16.49,2.31,1.46,64.5,5.48,73.75
71,SAMBHAL,,-37.39,0,0,0,9448.17,0,0,0,0,0,9410.79,0,5715.62,154.63,2744.09,307.38,485.88,24.93,510.81,9432.53,100.23,-21.74,20.35,2,27.33,3.29,52.97
72,SANT RAVIDAS NAGAR,,131.19,0,0,0,7200.61,14.49,0,0,0,0,7346.28,0,4039.02,129.68,2359.66,278.34,373.37,4.73,378.1,7184.8,97.8,161.48,1.32,1.27,2.47,0.17,5.23
73,SHAHJAHANPUR,,-134.85,0,0,0,16257.32,0,0,0,0,0,16122.47,0,7906.45,644.96,6188.08,488.5,847.22,5.77,852.99,16080.98,99.74,41.49,3.84,2.72,88.89,9.82,105.27
74,SHAMLI,,-33.47,0,0,0,1255.03,0,0,0,0,0,1221.57,0,1049.77,13.04,158.84,1.44,25.81,2.08,27.88,1250.97,102.41,-29.41,5.72,0,6.18,0.52,12.42
75,VARANASI,,6.61,0,0,0,7768.9,0,0,0,0,0,7775.51,0,4291.61,227.33,2661.01,176.6,374,2.71,376.71,7733.25,99.46,42.26,4.36,0.9,0.83,0.04,6.13
PhaseIII Total,,,-1629.92,0,0,0,366216.05,14.49,0,0,0,0,364600.63,0,206259.56,10418.73,121160.91,10310.94,15357.46,343.07,15700.53,363850.67,99.79,749.97,276.57,108.39,1012.13,97.7,1494.79
All District Total ,,,-6813.97,0,0,0,1199834.38,27.68,0,0,0,0,1193048.08,0,658444.28,32459.44,423400.56,32343.33,45081.41,1252.14,46333.55,1192981.17,99.99,66.95,974.29,290.3,2237.71,181.12,3683.42
State Fund ,,,3909.59,23700,,,0,0,,0 ,,,-657684.97,,,,,,159.96,0,159.96,159.96,,-657844.93,,,,,
Grand Total of State ,,,-2904.38,0,23700,0,1199834.38,27.68,0,0,0,0,535363.11,0,658444.28,32459.44,423400.56,32343.33,45241.37,1252.14,46493.51,1193141.13,222.84,-657777.98,974.29,290.3,2237.71,181.12,3683.42
*Status of State Fund:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • OB of State Fund= 3909.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • OB of State Fund= 3909.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Releases by Centre to State Fund in current FY= 1061889.53897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Releases by State as State share against centre release in the current FY= 122231.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Misc (if any)= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Total Availability at State Fund= 1188031.02987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Refund From SEGF= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Balance of State Fund= -657844.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                       • Fund in Transit=Rs. 200.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These Figures are Cumulatively Display.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Col 3: OB=CB of last FY as per MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Col 4: OB=OB entered manually in the MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Payment due means MR,Bills/Vouchers that have been entered but payment date has not been entered in the MIS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
