SNo,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year
33,HAPUR,1084,9110,1053,23715,536,19063,474,21626,441,24506,423,27838,432,32559,1177,107921,572,57200,6,607,0,0,0,0,0,0,0,0,6198,324145,2024
34,HARDOI,28189,284661,27237,640932,13687,487630,13787,619204,13707,760264,13645,900023,12830,973288,26943,2416711,13874,1387400,137,13879,0,0,0,0,0,0,0,0,164036,8483992,2024
35,HATHRAS,9639,70824,7263,160310,3265,115203,2596,117662,2095,116120,1839,120172,1532,115552,3382,308805,1225,122500,10,1019,0,0,0,0,0,0,0,0,32846,1248167,2024
36,JALAUN,17719,197335,19363,473436,10595,386330,10819,487193,12029,662377,12132,802364,10371,788207,38048,3488350,10377,1037700,723,73522,0,0,0,0,0,0,0,0,142176,8396814,2024
37,JAUNPUR,28307,312783,37219,897076,16175,579523,22043,979186,21444,1200503,16676,1102413,15524,1170424,35758,3205926,27518,2751800,247,24995,0,0,0,0,0,0,0,0,220911,12224629,2024
38,JHANSI,8185,87015,9588,229796,4910,174571,5288,239143,5543,308024,5791,379215,5669,429365,23239,2130208,6654,665400,436,44384,0,0,0,0,0,0,0,0,75303,4687121,2024
39,KANNAUJ,14141,118038,11747,264949,4892,173572,4752,213761,4299,238736,4380,287929,5082,386039,8446,756013,4685,468500,130,13151,0,0,0,0,0,0,0,0,62554,2920688,2024
40,KANPUR DEHAT,12172,97341,11164,249051,5478,192502,4753,215492,4101,228934,3639,238443,3436,260554,7271,657195,1632,163200,21,2124,0,0,0,0,0,0,0,0,53667,2304836,2024
41,KANPUR NAGAR,10607,68295,6874,152808,3056,107926,2541,114704,2399,132988,2198,144732,2389,180308,4555,405468,1579,157900,48,4849,0,0,0,0,0,0,0,0,36246,1469978,2024
42,KASHGANJ,13501,113182,13010,291358,6189,219720,5406,244671,4746,263195,4142,271318,3557,268306,9903,907641,1683,168300,44,4489,0,0,0,0,0,0,0,0,62181,2752180,2024
43,KAUSHAMBI,10670,96985,10759,239908,5201,181931,5072,230524,4115,231379,3320,216275,3605,272710,5827,518202,2394,239400,36,3650,0,0,0,0,0,0,0,0,50999,2230964,2024
44,KHERI,34098,292740,28843,655681,13664,484376,13711,619416,13632,760369,13011,855330,11402,863946,26269,2371363,15325,1532500,240,24409,0,0,0,0,0,0,0,0,170195,8460130,2024
45,KUSHI NAGAR,22652,208869,26847,612270,12752,450551,11439,516573,10605,588658,8866,582884,6867,518505,18196,1628306,5491,549100,43,4390,0,0,0,0,0,0,0,0,123758,5660106,2024
46,LALITPUR,16927,142226,14844,335109,7311,259249,6327,287406,5979,332723,5865,384820,6122,463406,13111,1181310,11897,1189700,55,5578,0,0,0,0,0,0,0,0,88438,4581527,2024
47,LUCKNOW,8963,63864,6289,139538,2885,101706,2397,108866,2239,124466,2165,141368,2063,156218,4268,382956,2426,242600,11,1113,0,0,0,0,0,0,0,0,33706,1462695,2024
48,MAHARAJGANJ,29904,312582,33236,769395,15945,567073,15184,685449,14323,797382,11877,778968,10543,795435,25459,2301810,10798,1079800,249,25282,0,0,0,0,0,0,0,0,167518,8113176,2024
49,MAHOBA,4498,41095,4017,94397,1795,63787,2091,93789,2011,111546,2030,134601,2247,170669,6450,580117,3813,381300,32,3259,0,0,0,0,0,0,0,0,28984,1674560,2024
50,MAINPURI,20519,140536,13635,318232,6396,229221,6631,298300,6780,375711,6274,413090,5599,423569,22289,2061250,4733,473300,427,43287,0,0,0,0,0,0,0,0,93283,4776496,2024
51,MATHURA,13331,127002,12365,285017,5911,210715,5226,236059,4234,234298,3651,239935,3301,249277,10268,938088,2643,264300,65,6861,0,0,0,0,0,0,0,0,60995,2791552,2024
52,MAU,17494,186818,18555,432378,10466,373167,9475,430100,8760,487581,7338,480771,7135,537376,16511,1492680,4346,434600,102,10347,0,0,0,0,0,0,0,0,100182,4865818,2024
53,MEERUT,3647,32905,2892,69633,1415,51977,1233,54540,1411,77188,1373,90952,1015,77521,2926,264923,834,83400,9,909,0,0,0,0,0,0,0,0,16755,803948,2024
54,MIRZAPUR,19898,172514,17825,405903,7966,281798,8057,363481,7010,390727,6535,429344,6215,471498,13155,1183543,6010,601000,113,11455,0,0,0,0,0,0,0,0,92784,4311263,2024
55,MORADABAD,16024,148685,14614,331232,6942,247194,6253,281967,6116,339862,5144,338400,4319,325870,13837,1265774,2904,290400,45,4561,0,0,0,0,0,0,0,0,76198,3573945,2024
56,MUZAFFARNAGAR,5121,41728,4152,93339,2112,74558,1816,82148,1542,85293,1437,93805,1134,85531,3218,294687,1056,105600,19,1929,0,0,0,0,0,0,0,0,21607,958618,2024
57,PILIBHIT,27776,217554,18668,413095,6833,240964,6298,284239,6293,352930,5405,353690,5590,422378,7234,645475,4755,475500,33,3336,0,0,0,0,0,0,0,0,88885,3409161,2024
58,PRATAPGARH,17171,187150,20732,480394,8820,314685,9939,445206,9720,542116,9725,642018,12988,984898,13814,1224455,23960,2396000,314,31836,0,0,0,0,0,0,0,0,127183,7248758,2024
59,PRAYAGRAJ,26290,229307,23198,521431,10671,373758,10030,454374,9822,553181,9275,608321,11101,841499,27669,2467253,8820,882000,291,29644,0,0,0,0,0,0,0,0,137167,6960768,2024
60,RAE BARELI,26410,218648,20378,453296,9492,334802,7835,354776,6429,356587,7460,483393,5495,415145,12515,1127693,4974,497400,61,6178,0,0,0,0,0,0,0,0,101049,4247918,2024
61,RAMPUR,17647,131815,12810,291659,6556,232691,5768,260046,5476,303959,5366,351088,4968,376611,18068,1661274,4715,471500,230,23366,0,0,0,0,0,0,0,0,81604,4104009,2024
62,SAHARANPUR,19635,146879,13217,289902,5341,188561,4061,183411,3341,185345,2794,182870,2487,187720,5889,535900,2069,206900,35,3547,0,0,0,0,0,0,0,0,58869,2111035,2024
63,SAMBHAL,16536,127412,13457,297343,5584,197462,5080,229065,4050,225323,3435,225155,3190,240928,7663,697514,2205,220500,94,9515,0,0,0,0,0,0,0,0,61294,2470217,2024
64,SANT KABEER NAGAR,12593,143985,27454,614288,11061,383377,14084,633848,10928,613060,9794,637909,10772,813313,27867,2536970,8121,812100,373,37808,0,0,0,0,0,0,0,0,133047,7226658,2024
65,SANT RAVIDAS NAGAR,8501,76744,7119,163459,3162,110751,3226,146103,2972,165564,3148,206974,3435,262130,5962,529060,3123,312300,16,1643,0,0,0,0,0,0,0,0,40664,1974728,2024
66,SHAHJAHANPUR,27517,225196,20195,453504,8046,283439,7287,328469,6770,380926,6344,410594,5348,403684,11517,1033922,7398,739800,57,5821,0,0,0,0,0,0,0,0,100479,4265355,2024
67,SHAMLI,2060,21593,1880,44844,768,27902,784,35065,769,42315,666,43983,426,32427,1229,111361,293,29300,1,101,0,0,0,0,0,0,0,0,8876,388891,2024
68,SHRAVASTI,6475,69260,7373,174199,4565,163558,3749,170551,4093,227637,3854,252898,3595,271483,14856,1362742,3667,366700,226,22920,0,0,0,0,0,0,0,0,52453,3081948,2024
69,SIDDHARTH NAGAR,25297,269337,31666,743077,20977,749589,18568,846143,18057,1002356,16833,1105622,16225,1225514,40043,3632884,23517,2351700,237,24011,0,0,0,0,0,0,0,0,211420,11950233,2024
70,SITAPUR,35904,335613,36287,829542,18735,662488,17667,801798,17030,948108,17995,1185949,16642,1259850,43256,3894908,22540,2254000,493,50207,0,0,0,0,0,0,0,0,226549,12222463,2024
71,SONBHADRA,22701,188973,22351,506072,9415,332479,8103,366963,7546,424065,5866,383366,6027,455423,11944,1072308,11773,1177300,157,15925,0,0,0,0,0,0,0,0,105883,4922874,2024
72,SULTANPUR,16361,178801,22784,527449,10116,356637,12143,546233,10969,613072,11371,745052,13146,1001397,30996,2790498,13665,1366500,314,31779,0,0,0,0,0,0,0,0,141865,8157418,2024
73,UNNAO,15124,127150,14132,321334,7479,263090,6302,285454,6290,350509,5998,394900,5004,378445,16116,1455590,4441,444100,143,14493,0,0,0,0,0,0,0,0,81029,4035065,2024
74,VARANASI,13220,109873,10262,227719,4335,152585,3832,173845,3331,185567,3354,220342,3400,258325,8866,793273,3646,364600,18,1830,0,0,0,0,0,0,0,0,54264,2487959,2024
,Total,1254853,11429366,1216654,28023795,581334,20644650,569859,25719149,539348,30052001,492463,32334604,477612,36139766,1190975,107780700,518182,51818200,12478,1267008,0,0,0,0,0,0,0,0,6853758,345209239,2024
