SNo,District,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28,Year
1,AZAMGARH,,-223.49,0,0,0,21637.09,0,0,0,0,0,21413.59,0,16410.45,457.62,3405.95,282.24,1012.27,0.51,1012.78,21569.04,100.73,-155.45,21.91,24.07,17.36,0.54,63.88,2022
2,BANDA,,-69.61,0,0,0,11409.13,0,0,0,0,0,11339.53,0,8956.59,243.8,1663.82,142.81,383.67,0.25,383.91,11390.93,100.45,-51.4,7.38,2.57,4.35,0.35,14.65,2022
3,BARABANKI,,-25.79,0,0,0,23827.2,0,0,0,0,0,23801.41,0,17165.87,678.05,5007.43,141.8,801.08,0.09,801.16,23794.32,99.97,7.09,23.08,11.41,16.79,0.19,51.47,2022
4,CHANDAULI,,-5.19,0,0,0,9790.28,0,0,0,0,0,9785.09,0,7454.56,223.47,1623.05,14.09,458.21,2.57,460.78,9775.95,99.91,9.14,10.36,15.39,10.39,0.38,36.52,2022
5,CHITRAKOOT,,6.7,0,0,0,8661.5,0,0,0,0,0,8668.2,0,7026.9,128.16,1068.28,128.55,284.24,0.97,285.21,8637.08,99.64,31.12,15.15,9.28,1.5,0,25.93,2022
6,FATEHPUR,,2.74,0,0,0,13960.3,0,0,0,0,0,13963.04,0,10972.85,230.18,2028.38,21.02,676.95,1.13,678.09,13930.51,99.77,32.53,41.45,7.8,34.16,0.37,83.78,2022
7,GORAKHPUR,,-105.29,0,0,0,13802.92,0,0,0,0,0,13697.63,0,11965.18,210.03,830.64,12.37,726.82,0,726.82,13745.04,100.35,-47.41,228.03,20.73,18.18,0.22,267.16,2022
8,HAMIRPUR,,-60.34,0,0,0,7964.43,0,0,0,0,0,7904.09,0,6931.88,150.02,515.59,47.38,286.41,0,286.41,7931.28,100.34,-27.19,6.3,3.39,9.26,0.82,19.77,2022
9,HARDOI,,-216.96,0,0,0,21068.94,0,0,0,0,0,20851.98,0,15745.06,307.96,3851.03,184.3,935.27,1.72,936.99,21025.34,100.83,-173.36,17.75,9.53,12.2,0.25,39.73,2022
10,JALAUN,,-17.29,0,0,0,19340.24,0,0,0,0,0,19322.95,0,13398.45,356.49,4566.06,451.39,524.3,2.9,527.21,19299.59,99.88,23.36,10.81,18.99,8.31,0.91,39.02,2022
