SNo,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year
1,AGRA,20162,180255,15888,364308,7640,271002,6829,313580,5631,316636,4179,274683,4608,344150,10355,940913,8085,808500,82,8382,0,0,0,0,0,0,0,0,83459,3822409,2023
2,ALIGARH,29797,248241,21916,492252,8938,316334,7795,351341,5984,331384,4987,326975,3939,297023,7525,679214,3773,377300,96,9713,0,0,0,0,0,0,0,0,94750,3429777,2023
3,AMBEDKAR NAGAR,27874,279347,25495,591184,9832,349246,10164,454537,8289,461490,6404,420814,5509,414536,12031,1084456,5868,586800,120,12164,0,0,0,0,0,0,0,0,111586,4654574,2023
4,AMETHI,17640,184337,18970,442343,8268,291609,8653,390937,7549,424740,5661,371001,5566,418353,14203,1289362,9271,927100,171,17395,0,0,0,0,0,0,0,0,95952,4757177,2023
5,AMROHA,18194,140944,15466,333146,6992,246402,5750,260847,4846,268399,4479,292591,4306,325203,9122,828062,8841,884100,54,5472,0,0,0,0,0,0,0,0,78050,3585166,2023
6,AURAIYA,12074,120272,9078,213315,3775,134087,4076,181427,3367,186846,2954,194957,2123,160249,6150,560055,1996,199600,21,2122,0,0,0,0,0,0,0,0,45614,1952930,2023
7,AYODHYA,22567,202023,19257,438705,8870,316118,7984,361098,7036,389868,6105,400321,5363,404852,14921,1370054,5984,598400,113,11575,0,0,0,0,0,0,0,0,98200,4493014,2023
8,AZAMGARH,43156,449470,36947,892080,15518,556755,15467,692450,13547,750170,10745,707505,8454,638018,19966,1814302,8261,826100,479,48505,0,0,0,0,0,0,0,0,172540,7375355,2023
9,BAGHPAT,770,6765,650,14224,228,8161,167,7568,108,6006,73,4785,56,4247,43,3846,32,3200,0,0,0,0,0,0,0,0,0,0,2127,58802,2023
10,BAHRAICH,27359,288080,29637,712098,12715,452285,15189,678908,13756,769030,11417,755916,9419,709608,28200,2572317,24599,2459900,760,77146,0,0,0,0,0,0,0,0,173051,9475288,2023
11,BALLIA,29202,330696,27713,650324,10959,388487,11989,535124,9393,523562,7302,480840,5868,443028,12774,1155338,7305,730500,100,10110,0,0,0,0,0,0,0,0,122605,5248009,2023
12,BALRAMPUR,17324,180458,18187,424573,7826,278412,8737,389228,7790,431344,6697,441335,5293,399804,13689,1246171,6618,661800,158,15982,0,0,0,0,0,0,0,0,92319,4469107,2023
13,BANDA,21282,204321,15399,356198,6310,222570,5812,266047,4649,263418,2957,193060,3229,240277,7363,673127,4841,484100,46,4668,0,0,0,0,0,0,0,0,71888,2907786,2023
14,BARABANKI,26361,266805,25375,600359,12313,440036,12029,540804,11376,629191,9934,653070,8078,609920,22277,2036507,17125,1712500,738,75178,0,0,0,0,0,0,0,0,145606,7564370,2023
15,BAREILLY,35420,291566,27478,619155,10302,364753,9548,429520,7546,418822,6218,408100,4886,368932,10547,952111,5855,585500,93,9439,0,0,0,0,0,0,0,0,117893,4447898,2023
16,BASTI,34315,428873,39046,982729,12668,454665,22819,997650,20716,1151025,17242,1149415,12461,944497,42381,3871632,9886,988600,712,72432,0,0,0,0,0,0,0,0,212246,11041518,2023
17,BIJNOR,55513,390468,31183,676194,11741,414216,8547,386706,6516,361045,5221,341266,4254,320610,9693,884606,5381,538100,85,8625,0,0,0,0,0,0,0,0,138134,4321836,2023
18,BUDAUN,25755,243076,18631,442727,7099,253879,8068,359652,6659,369096,5613,372075,4113,310563,10575,957440,4557,455700,49,5014,0,0,0,0,0,0,0,0,91119,3769222,2023
19,BULANDSHAHR,10191,86984,6253,137349,1729,61376,1514,67360,1070,59326,669,43773,473,35588,687,61620,462,46200,2,205,0,0,0,0,0,0,0,0,23050,599781,2023
20,CHANDAULI,21152,223394,18813,458261,7015,249914,8989,397820,7846,435401,6350,422166,3690,279078,13533,1237701,3330,333000,103,10443,0,0,0,0,0,0,0,0,90821,4047178,2023
21,CHITRAKOOT,14777,135323,11363,265424,4621,163565,5023,224742,4088,226968,3455,228117,2618,197254,6805,616507,4092,409200,70,7150,0,0,0,0,0,0,0,0,56912,2474250,2023
22,DEORIA,17329,191863,20148,486926,8291,302408,8293,370496,8198,451144,6659,439047,5186,392895,10289,924233,7909,790900,159,16254,0,0,0,0,0,0,0,0,92461,4366166,2023
23,ETAH,11620,114352,11347,266257,5396,192267,5511,248815,4435,245582,4115,270447,3462,261787,8712,793713,4184,418400,255,25874,0,0,0,0,0,0,0,0,59037,2837494,2023
24,ETAWAH,14812,140053,12694,286992,6132,217035,5022,229797,4321,242659,3132,205741,3046,228497,6895,626698,5252,525200,47,4798,0,0,0,0,0,0,0,0,61353,2707470,2023
25,FARRUKHABAD,10227,87200,10773,230841,5229,179914,4708,214408,3186,177551,3501,227165,3255,247928,8526,787561,5049,504900,63,6379,0,0,0,0,0,0,0,0,54517,2663847,2023
26,FATEHPUR,25357,287769,29634,668265,8034,286582,10189,453559,8961,502347,6504,429037,5775,434177,14895,1351174,5121,512100,194,19758,0,0,0,0,0,0,0,0,114664,4944768,2023
27,FIROZABAD,18989,169282,14294,339631,6897,247768,6190,283372,5459,304425,5147,336896,5131,386444,10931,986394,3990,399000,277,28070,0,0,0,0,0,0,0,0,77305,3481282,2023
28,GAUTAM BUDDHA NAGAR,159,1524,206,4949,67,2340,24,1081,7,370,2,127,2,148,1,87,0,0,0,0,0,0,0,0,0,0,0,0,468,10626,2023
29,GHAZIABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,450,0,0,0,0,0,0,0,0,0,0,0,0,5,450,2023
30,GHAZIPUR,43494,485283,55358,1326235,17433,628094,19497,874162,16354,909289,10394,684528,8665,650325,17433,1581276,4602,460200,250,25287,0,0,0,0,0,0,0,0,193480,7624679,2023
31,GONDA,27989,324346,24148,589255,9491,343211,11478,508568,9574,530815,7991,530014,5551,418418,14141,1281910,6903,690300,128,12991,0,0,0,0,0,0,0,0,117394,5229828,2023
32,GORAKHPUR,26021,269596,22304,534740,10198,364356,11138,499677,8851,491479,7762,511683,5899,445508,15951,1451067,12578,1257800,259,26360,0,0,0,0,0,0,0,0,120961,5852266,2023
33,HAMIRPUR,13321,133445,13100,316835,5482,197583,5556,252013,6023,334204,4466,293996,4355,329341,14764,1355700,8101,810100,411,41744,0,0,0,0,0,0,0,0,75579,4064961,2023
34,HAPUR,1533,14342,1226,28416,497,17969,560,25346,411,22649,342,22382,253,18900,577,52656,276,27600,2,202,0,0,0,0,0,0,0,0,5677,230462,2023
35,HARDOI,41110,440904,31373,766959,13344,481905,14532,646692,12369,683605,10616,702474,7230,546859,18560,1682947,9222,922200,74,7512,0,0,0,0,0,0,0,0,158430,6882057,2023
36,HATHRAS,11326,88803,7783,173416,3539,125397,2925,132619,2327,128856,1935,126506,1661,125225,3194,287360,2501,250100,12,1227,0,0,0,0,0,0,0,0,37203,1439509,2023
37,JALAUN,21322,240505,21319,526266,10153,367814,11319,507748,11885,656345,11137,738968,8642,653863,28317,2585410,8989,898900,529,53819,0,0,0,0,0,0,0,0,133612,7229638,2023
38,JAUNPUR,32360,368560,39965,970451,14388,513591,20768,919229,19433,1089227,14070,934848,11220,841380,26488,2379169,29877,2987700,860,87090,0,0,0,0,0,0,0,0,209429,11091245,2023
39,JHANSI,12157,126602,11483,279284,4253,152039,5721,256186,5371,299395,4228,281222,3730,280280,13474,1236664,11514,1151400,255,26238,0,0,0,0,0,0,0,0,72186,4089310,2023
40,KANNAUJ,24930,175390,12423,279736,4966,175417,4720,211575,3856,213547,3184,209231,2547,192316,5752,518327,3305,330500,58,5961,0,0,0,0,0,0,0,0,65741,2312000,2023
41,KANPUR DEHAT,15907,137679,12158,273464,5316,187967,4459,201980,3386,187566,2965,193901,2320,175213,5196,472821,1800,180000,29,2944,0,0,0,0,0,0,0,0,53536,2013535,2023
42,KANPUR NAGAR,13216,102490,8804,196201,3960,139832,3356,151878,2626,145542,2291,149672,1919,144703,3875,351016,2586,258600,33,3364,0,0,0,0,0,0,0,0,42666,1643298,2023
43,KASHGANJ,12540,108607,12128,271615,5782,205341,5073,229451,4430,245225,3854,252971,3321,250484,7982,730708,3348,334800,79,7993,0,0,0,0,0,0,0,0,58537,2637195,2023
44,KAUSHAMBI,14348,140467,12180,279386,5130,183590,4294,193680,4061,226231,3127,205610,2413,182201,5574,504402,2775,277500,28,2844,0,0,0,0,0,0,0,0,53930,2195911,2023
45,KHERI,45852,410214,39294,903785,15586,549154,14342,645552,11945,664312,9633,631727,7544,569316,19830,1812263,13079,1307900,191,19335,0,0,0,0,0,0,0,0,177296,7513558,2023
46,KUSHI NAGAR,28747,291527,30257,714697,14453,511885,13450,605444,10080,557891,8339,546116,6196,467656,13950,1271443,6246,624600,49,4958,0,0,0,0,0,0,0,0,131767,5596217,2023
47,LALITPUR,23027,190182,17902,412486,7637,271421,6960,314258,6165,341562,4866,319140,4116,310762,7962,720972,14594,1459400,104,10664,0,0,0,0,0,0,0,0,93333,4350847,2023
48,LUCKNOW,11462,91753,8111,183810,3743,131735,2993,135256,2495,138467,2165,141347,1689,127487,3884,354617,3152,315200,20,2026,0,0,0,0,0,0,0,0,39714,1621698,2023
49,MAHARAJGANJ,32385,346279,36557,863343,14790,523013,17241,768398,13748,763422,11089,729511,8608,649592,17835,1613143,14479,1447900,393,39801,0,0,0,0,0,0,0,0,167125,7744402,2023
50,MAHOBA,7343,66126,5088,120010,1929,67791,2261,100977,1823,101265,1550,102564,1132,85382,3129,284854,2859,285900,7,709,0,0,0,0,0,0,0,0,27121,1215578,2023
51,MAINPURI,18144,182799,14523,339198,6320,225896,6134,276446,5324,295451,4739,311857,3913,294723,11568,1060308,6368,636800,94,9536,0,0,0,0,0,0,0,0,77127,3633014,2023
52,MATHURA,14922,157816,14819,350743,4912,176011,6260,278495,5249,292964,3524,232719,3066,230187,8008,731418,2290,229000,171,17398,0,0,0,0,0,0,0,0,63221,2696751,2023
53,MAU,25867,275251,23763,555378,12521,450200,10602,486659,8101,451532,7026,457299,6019,451000,11432,1036251,5846,584600,98,9948,0,0,0,0,0,0,0,0,111275,4758118,2023
54,MEERUT,4195,47562,3337,85349,830,30409,1858,79515,1725,95213,1545,105275,461,35348,4322,397471,854,85400,9,909,0,0,0,0,0,0,0,0,19136,962451,2023
55,MIRZAPUR,27006,249942,23711,544812,9033,319486,9178,412577,7522,419275,6177,405642,4655,351221,11182,1015697,7155,715500,195,19818,0,0,0,0,0,0,0,0,105814,4453970,2023
56,MORADABAD,17088,160941,17171,392228,6699,238307,6849,307665,5995,334045,4518,296761,4346,327182,10991,1005274,4546,454600,128,12970,0,0,0,0,0,0,0,0,78331,3529973,2023
57,MUZAFFARNAGAR,5426,47744,5022,114251,2073,73172,1998,90381,1741,96627,1412,92672,1148,86627,2973,271689,1437,143700,9,911,0,0,0,0,0,0,0,0,23239,1017774,2023
58,PILIBHIT,35109,278183,24558,548333,8897,314145,7220,324710,6107,338534,4625,303387,3519,265426,5569,500481,4751,475100,103,10439,0,0,0,0,0,0,0,0,100458,3358738,2023
59,PRATAPGARH,29598,339258,33183,790571,9588,335912,14990,660412,12942,725707,9215,611544,6690,502745,18062,1622976,11886,1188600,219,22213,0,0,0,0,0,0,0,0,146373,6799938,2023
60,PRAYAGRAJ,41757,387910,34257,776829,14297,497668,12868,581932,11360,639747,8883,577950,6970,523925,13956,1262731,10967,1096700,135,13694,0,0,0,0,0,0,0,0,155450,6359086,2023
61,RAE BARELI,34612,305421,27697,635029,11175,394282,9870,444520,8114,450184,6665,437561,5256,396627,13310,1211648,6143,614300,71,7191,0,0,0,0,0,0,0,0,122913,4896763,2023
62,RAMPUR,18663,170152,14528,342017,6012,214276,6649,297151,6027,335417,5054,334021,4161,314058,13626,1246035,3576,357600,196,19845,0,0,0,0,0,0,0,0,78492,3630572,2023
63,SAHARANPUR,22811,176366,14220,311701,5304,187544,3867,174997,3076,170236,2598,170065,2106,159013,4475,407369,2618,261800,63,6383,0,0,0,0,0,0,0,0,61138,2025474,2023
64,SAMBHAL,17983,147811,16506,362842,6160,217641,5817,262072,4796,266831,3655,239425,3306,249220,6744,610094,3696,369600,72,7326,0,0,0,0,0,0,0,0,68735,2732862,2023
65,SANT KABEER NAGAR,17819,201162,37096,809263,14801,508183,15862,712593,11598,647236,10368,676557,8869,670376,19431,1769538,7250,725000,426,43302,0,0,0,0,0,0,0,0,143520,6763210,2023
66,SANT RAVIDAS NAGAR,13323,130963,10525,244333,4174,146457,3872,173580,3184,176790,2789,183903,1995,150962,5558,507355,1933,193300,38,3919,0,0,0,0,0,0,0,0,47391,1911562,2023
67,SHAHJAHANPUR,35976,311350,25043,572755,9414,333270,7915,357387,6526,363181,4991,327160,4007,302015,9474,864523,3207,320700,66,6731,0,0,0,0,0,0,0,0,106619,3759072,2023
68,SHAMLI,2636,31977,2248,58268,622,22605,1185,51278,988,54592,828,55771,363,27671,1394,125314,756,75600,2,203,0,0,0,0,0,0,0,0,11022,503279,2023
69,SHRAVASTI,10679,108968,10431,239572,5250,186642,5179,238136,3818,216608,2654,173850,3027,225816,8059,739913,2807,280700,220,22274,0,0,0,0,0,0,0,0,52124,2432479,2023
70,SIDDHARTH NAGAR,37554,431937,36580,897007,21786,798118,17298,783984,17946,983227,16213,1063160,13240,1003670,33200,3036146,10391,1039100,377,38238,0,0,0,0,0,0,0,0,204585,10074587,2023
71,SITAPUR,55630,540694,46623,1091351,20371,720800,19385,878832,15512,866249,12408,814665,11242,846182,30548,2789716,14300,1430000,623,63568,0,0,0,0,0,0,0,0,226642,10042057,2023
72,SONBHADRA,33484,286180,28940,663008,11950,421673,9874,446123,8052,449407,5725,374350,4553,342328,6158,550581,8409,840900,79,8031,0,0,0,0,0,0,0,0,117224,4382581,2023
73,SULTANPUR,23257,235469,29333,666419,9322,324375,13404,597220,10202,572527,8194,538489,7832,589960,19581,1774990,13348,1334800,382,38712,0,0,0,0,0,0,0,0,134855,6672961,2023
74,UNNAO,20364,186211,16510,382973,7611,269360,7304,329815,5805,321622,5511,361621,4542,343008,11871,1088778,6064,606400,160,16246,0,0,0,0,0,0,0,0,85742,3906034,2023
75,VARANASI,18503,161061,13565,302486,5716,201404,4417,200089,3440,191215,2584,168766,2226,167653,4404,400778,2324,232400,30,3043,0,0,0,0,0,0,0,0,57209,2028895,2023
,Total,1652174,15979969,1478991,34477915,602313,21409127,617584,27716132,524692,29183156,425627,28014106,346686,26139820,866858,78861450,483375,48337500,12784,1298770,0,0,0,0,0,0,0,0,7011084,311417945,2023
