S.No,District,Total attendance between (1-14) days,,Total attendance between (15-30) days,,Total attendance between (31-40) days,,Total attendance between (41-50) days,,Total attendance between (51-60) days,,Total attendance between (61-70) days,,Total attendance between (71-80) days,,Total attendance between (81-99) days,,Total attendance equal to 100 days,,Total attendance between (101-150) days,,Total attendance between (101-150) days in Drought Effective Areas,,Total attendance above 150 days,,Total attendance above 150 days in Drought Effective Areas,,Total attendance equal to 150 days ,,Total attendance,
,,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated,House Hold Employed,Persondays Generated
30,GHAZIPUR,42867,422222,50060,1152668,11904,414203,15781,705420,13756,773917,8714,569279,6342,474951,11626,1035704,4614,461400,0,0,0,0,0,0,0,0,0,0,165664,6009764
31,GONDA,31525,314055,22729,553984,7665,275116,11159,494727,9103,506824,10460,679490,6357,478815,9125,806867,9310,931000,2,203,0,0,0,0,0,0,0,0,117435,5041081
32,GORAKHPUR,40464,418187,28651,686894,11162,396038,13677,610414,10280,572070,10580,691621,6689,504500,12751,1131907,10816,1081600,4,409,0,0,0,0,0,0,0,0,145074,6093640
33,HAMIRPUR,16396,161805,15362,375985,4933,176432,6010,268794,5873,326184,5401,354530,3147,238340,9377,841735,6642,664200,1,104,0,0,0,0,0,0,0,0,73142,3408109
34,HAPUR,1699,16914,1385,31632,590,20923,546,25464,353,19697,331,21377,355,26305,437,39889,311,31100,0,0,0,0,0,0,0,0,0,0,6007,233301
35,HARDOI,48398,533696,39103,980269,11769,422142,19166,837952,16283,902335,13931,923657,6449,488299,18712,1677976,10461,1046100,0,0,0,0,0,0,0,0,0,0,184272,7812426
36,HATHRAS,16495,124716,9740,214573,3726,130835,2802,126247,1993,110013,1746,113484,1078,80960,1685,150463,2412,241200,0,0,0,0,0,0,0,0,0,0,41677,1292491
37,JALAUN,24693,266996,23401,582640,8253,294385,12524,552083,11678,648966,10405,691787,5895,445667,20013,1803267,14356,1435600,4,405,0,0,0,0,0,0,0,0,131222,6721796
38,JAUNPUR,36233,422154,53883,1253957,14491,517458,22476,1001698,20128,1142380,16699,1080913,12943,969468,16931,1500262,16673,1667300,2,204,0,0,0,0,0,0,0,0,210459,9555794
39,JHANSI,15247,154020,15356,366708,6077,220889,6576,299150,6614,373350,7193,467604,5681,428809,12095,1078974,13905,1390500,18,1922,0,0,0,0,0,0,0,0,88762,4781926
40,KANNAUJ,22764,176628,14430,318736,5035,176345,4297,192930,3256,182092,4931,315396,2092,157836,4086,365780,3962,396200,1,101,0,0,0,0,0,0,0,0,64854,2282044
41,KANPUR DEHAT,23783,186753,16054,361585,6507,229989,5734,259482,4704,262301,4431,287604,2910,219816,5863,526407,3150,315000,0,0,0,0,0,0,0,0,0,0,73136,2648937
42,KANPUR NAGAR,18087,123492,9987,221779,3994,140873,3216,145015,2555,141354,3190,205733,1580,119252,3284,295415,2446,244600,1,102,0,0,0,0,0,0,0,0,48340,1637615
43,KASHGANJ,18804,152826,16004,352511,6540,230918,5430,245690,4220,234049,3410,223891,2869,216617,5287,477754,5648,564800,1,101,0,0,0,0,0,0,0,0,68213,2699157
44,KAUSHAMBI,16757,147808,12942,298918,4713,167268,4977,223926,4787,269970,3753,244049,3476,261337,5989,531624,5657,565700,0,0,0,0,0,0,0,0,0,0,63051,2710600
45,KHERI,61947,534264,40533,950767,15050,531158,17207,766867,17994,1011193,15760,1024387,9356,705704,25515,2284076,18570,1857000,10,1047,0,0,0,0,0,0,0,0,221942,9666463
46,KUSHI NAGAR,37342,365757,28517,662636,13238,467810,11647,524743,9249,513312,8221,535679,5430,410026,10838,975127,9731,973100,2,202,0,0,0,0,0,0,0,0,134215,5428392
47,LALITPUR,23345,191309,17194,398275,6833,243297,6569,295622,6018,335235,6109,396817,4136,311861,6843,611659,20468,2046800,3,307,0,0,0,0,0,0,0,0,97518,4831182
48,LUCKNOW,15085,116123,10287,230154,4419,156027,3880,175370,2907,161594,4648,297562,2384,179928,5518,498566,4570,457000,6,611,0,0,0,0,0,0,0,0,53704,2272935
49,MAHARAJGANJ,42964,397061,31710,739443,11831,419659,13578,604141,11845,659242,9949,655094,7393,556766,13947,1251444,15387,1538700,0,0,0,0,0,0,0,0,0,0,158604,6821550
50,MAHOBA,8659,80049,6746,159506,2650,93678,2938,131165,2402,134267,2928,190566,1583,119542,4886,438809,2609,260900,0,0,0,0,0,0,0,0,0,0,35401,1608482
51,MAINPURI,22299,210294,16588,385101,6149,219443,6744,299713,5684,315262,4950,326978,3599,271449,11527,1052589,7256,725600,2,213,0,0,0,0,0,0,0,0,84798,3806642
52,MATHURA,22995,217303,18526,434740,5912,210851,6874,305247,5610,312869,3966,262953,2952,221930,6571,592395,4578,457800,0,0,0,0,0,0,0,0,0,0,77984,3016088
53,MAU,33238,365074,24243,574964,8940,320558,9081,403036,7370,404899,7882,512325,5027,382114,8990,804761,5330,533000,0,0,0,0,0,0,0,0,0,0,110101,4300731
54,MEERUT,5464,59322,4024,101726,864,31292,2102,90246,1842,101905,1677,113020,477,36508,2593,232807,1935,193500,0,0,0,0,0,0,0,0,0,0,20978,960326
55,MIRZAPUR,32924,310140,28326,658407,10303,364718,11303,505945,9912,555289,8462,555808,5647,426551,12350,1112438,10732,1073200,14,1427,0,0,0,0,0,0,0,0,129973,5563923
56,MORADABAD,28279,240591,21917,489561,7497,263427,8060,360413,5858,326228,5629,367480,3416,257931,5829,517969,6228,622800,0,0,0,0,0,0,0,0,0,0,92713,3446400
57,MUZAFFARNAGAR,7560,66347,6025,135897,2292,81230,2634,118541,1866,103697,1923,124961,1103,83355,2417,218470,2778,277800,1,105,0,0,0,0,0,0,0,0,28599,1210403
58,PILIBHIT,49637,313907,23560,512917,7699,271181,6133,276841,5416,302421,6193,397863,3647,274663,6663,594064,5213,521300,1,105,0,0,0,0,0,0,0,0,114162,3465262
59,PRATAPGARH,29057,340337,35192,865133,8447,305018,16986,744123,19433,1100968,12066,793171,7834,586570,20998,1881092,10562,1056200,1,101,0,0,0,0,0,0,0,0,160576,7672713
60,PRAYAGRAJ,41425,389315,36269,849610,12207,429693,14344,642690,15091,854540,12934,839276,10395,786093,23880,2143967,9186,918600,1,105,0,0,0,0,0,0,0,0,175732,7853889
61,RAE BARELI,45127,379848,31834,718742,12952,456037,12571,567020,9669,536913,10695,692177,6172,465852,15630,1404409,7366,736600,2,204,0,0,0,0,0,0,0,0,152018,5957802
62,RAMPUR,30223,238593,18171,412724,6853,244240,6755,304482,5700,317394,5530,360656,4086,308801,7356,660078,4340,434000,1,102,0,0,0,0,0,0,0,0,89015,3281070
63,SAHARANPUR,33268,237685,14299,308209,4577,161135,3487,157129,2848,158049,2613,169586,1687,127335,2849,256411,1606,160600,0,0,0,0,0,0,0,0,0,0,67234,1736139
64,SAMBHAL,26831,203767,17822,392395,6504,230595,5633,253927,4589,254570,4240,275848,3192,240471,6121,553150,3768,376800,0,0,0,0,0,0,0,0,0,0,78700,2781523
65,SANT KABEER NAGAR,26880,324617,36757,853993,11961,418265,16202,718328,13939,783675,9439,618507,7192,540663,11477,1025537,7232,723200,0,0,0,0,0,0,0,0,0,0,141079,6006785
66,SANT RAVIDAS NAGAR,15094,142551,10090,238152,3459,120737,4365,195718,3634,204428,4076,264929,2166,163604,5957,533358,1858,185800,4,404,0,0,0,0,0,0,0,0,50703,2049681
67,SHAHJAHANPUR,47807,375888,23229,518480,8830,311979,7698,347683,5815,324535,7889,507257,4323,325896,10298,927324,4881,488100,0,0,0,0,0,0,0,0,0,0,120770,4127142
68,SHAMLI,2946,30894,2406,60341,669,24267,1367,59671,1042,58087,1140,74591,458,34253,1036,92588,732,73200,0,0,0,0,0,0,0,0,0,0,11796,507892
69,SHRAVASTI,13459,126357,10988,253327,4986,177430,4657,213857,4158,235787,3988,256452,3653,273247,7169,650854,6726,672600,6,654,0,0,0,0,0,0,0,0,59790,2860565
70,SIDDHARTH NAGAR,49911,494471,41108,999329,15425,548877,22446,999246,16140,894895,16089,1060760,8797,666093,18323,1643737,17390,1739000,2,205,0,0,0,0,0,0,0,0,205631,9046613
71,SITAPUR,58319,549466,50691,1196863,20680,734461,26078,1178437,21813,1225541,25406,1641884,14358,1080087,39943,3572833,31493,3149300,26,2637,0,0,0,0,0,0,0,0,288807,14331509
72,SONBHADRA,33610,286958,29675,688942,11910,423002,10896,492328,11102,626542,9236,603339,6697,504806,14154,1280057,11697,1169700,11,1129,0,0,0,0,0,0,0,0,138988,6076803
73,SULTANPUR,20834,203273,28963,650093,8214,282185,13531,607402,12196,698871,11918,762609,8894,670269,12231,1091522,21952,2195200,24,2452,0,0,0,0,0,0,0,0,138757,7163876
74,UNNAO,27977,243109,20465,473210,9228,324614,9474,427567,7248,403328,11042,706757,5001,378317,11925,1073655,8993,899300,14,1422,0,0,0,0,0,0,0,0,111367,4931279
75,VARANASI,22307,183730,14888,332731,5592,196873,4907,221605,4279,239281,3854,251557,2583,194617,5504,494279,2263,226300,0,0,0,0,0,0,0,0,0,0,66177,2340973
,Total,2092753,19172335,1638809,38252654,574066,20358409,673878,30084209,582795,32608625,534716,34879794,343560,25883680,734168,65813254,584048,58404800,255,26279,0,0,0,0,0,0,0,0,7759048,325484039
